Year,HATC_Fall_Chinook,WILD__Coho,WILD__Pink,WILD_Odd Year_Pink
2011,9,6,9,0
2010,0,0,0,0
2012,8,16,0,0
1999,0,0,0,0
2003,0,0,0,0
2000,0,0,0,0
2006,0,0,0,0
2007,0,0,0,0
2001,0,0,0,0
2002,0,0,0,0
2004,0,0,0,0
2008,0,0,0,0
1997,0,0,0,0
2005,0,0,0,0
2009,0,0,0,0
1998,0,0,0,0
2013,266,0,271,0
2014,42,10,19,0
2015,44,4,28,0
2016,109,4,0,0
2017,255,2,0,51
2018,13,1,0,0
2019,19,7,0,147
2020,0,0,0,0
