Year,HATC_Summer_Steelhead,HATC_Winter_Steelhead,HATC_Type N_Coho
1997,0,13,0
1998,70,446,0
1999,0,480,0
2000,0,279,0
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,0,0
2010,0,0,25
2011,0,597,0
2012,20,936,0
2013,18,354,0
2014,0,105,91
2015,0,137,19
2016,0,72,32
2017,0,168,8
2018,15,655,16
2019,9,124,715
2020,22,573,193
