Year,HATC_Winter_Steelhead
2011,0
2010,0
2012,0
1999,111
2003,0
2000,14
2006,5
2007,44
2001,19
2002,0
2004,0
2008,28
1997,0
2005,12
2009,5
1998,70
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
