Year,HATC_Summer_Steelhead,HATC_Winter_Steelhead
2011,534,181
2010,122,88
2012,433,509
1999,416,0
2003,655,65
2000,402,0
2006,504,47
2007,600,28
2001,575,0
2002,385,0
2004,443,318
2008,467,44
1997,670,0
2005,455,126
2009,676,98
1998,404,173
2013,453,576
2014,217,570
2015,807,492
2016,609,555
2017,451,687
2018,559,577
2019,92,105
2020,121,93
