Year,HATC_Spring_Chinook
2011,0
2010,0
2012,0
1999,475
2003,1684
2000,965
2006,0
2007,0
2001,409
2002,1234
2004,1566
2008,0
1997,807
2005,495
2009,0
1998,320
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
