Year,HATC_Summer_Steelhead,HATC_Winter_Steelhead
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,21,4
2013,36,35
2014,17,42
2015,0,14
2016,0,52
2017,45,0
2018,0,0
2019,0,0
2020,44,0
