Year,WILD_Fall_Chinook,HATC__Coho,WILD__Chum,HATC__Chum
1997,40,2081,0,0
1998,159,400,0,0
1999,0,0,0,0
2000,0,0,0,0
2001,0,0,0,0
2002,0,0,0,0
2003,0,0,0,0
2004,285,2018,217,0
2005,0,791,282,0
2006,0,371,336,0
2007,0,625,238,0
2008,0,237,0,0
2009,0,3615,0,0
2010,0,11705,0,0
2011,0,1480,0,0
2012,0,2314,0,1278
2013,0,2125,0,584
2014,0,9730,0,475
2015,0,2195,596,0
2016,0,8088,0,1373
2017,32,1453,0,534
2018,46,200,0,290
2019,0,0,0,0
2020,0,0,0,0
