Year,WILD_Summer_Steelhead,HATC_Summer_Steelhead
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,120,12
2004,97,64
2005,86,37
2006,163,49
2007,0,55
2008,120,26
2009,0,69
2010,611,248
2011,305,87
2012,32,2
2013,190,104
2014,0,0
2015,0,8
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
