Year,WILD_Spring_Chinook,HATC_Spring_Chinook,WILD_Summer_Steelhead,HATC_Summer_Steelhead
1997,14,0,0,0
1998,0,0,0,0
1999,0,0,0,0
2000,0,0,0,0
2001,0,806,0,0
2002,0,988,0,0
2003,0,188,0,0
2004,0,287,0,0
2005,0,190,0,0
2006,0,353,0,0
2007,0,0,0,0
2008,0,0,0,0
2009,0,0,0,0
2010,177,1272,0,0
2011,135,647,26,0
2012,153,1009,28,10
2013,112,708,89,124
2014,263,1540,99,124
2015,169,3262,71,206
2016,9,439,10,111
2017,6,221,4,75
2018,0,0,0,0
2019,0,0,0,0
2020,0,0,0,0
