Year,HATC_Winter_Steelhead
1997,0
1998,0
1999,0
2000,27
2001,38
2002,64
2003,28
2004,136
2005,33
2006,3
2007,27
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
