HATCHERY Fall Chinook,HATCHERY Winter Steelhead,HATCHERY Type S Coho,HATCHERY Type N Coho,WILD  Chum
286,007,286,313,313
286,007,286,313,313
286,007,286,313,313
286,007,286,313,313
286,007,287,313,313
286,007,287,313,313
286,007,287,313,313
286,007,287,313,313
286,007,287,313,313
286,007,287,313,313
286,007,287,313,313
286,007,287,313,313
286,007,287,313,313
286,007,287,313,313
286,007,287,313,313
286,007,287,313,313
286,007,287,313,313
286,007,287,313,314
286,007,288,313,314
286,007,288,313,314
286,007,288,313,314
286,007,288,313,314
286,007,288,313,314
286,007,288,313,314
286,007,288,313,314
286,007,288,313,314
286,007,288,313,314
286,007,288,318,314
286,007,288,318,314
286,007,288,318,314
286,007,288,318,314
286,007,288,318,314
288,007,288,318,314
288,007,288,318,314
288,007,288,318,314
288,007,288,318,314
288,007,288,321,314
288,007,288,321,314
288,007,288,321,314
288,007,288,321,314
288,007,288,321,314
288,007,288,321,314
288,007,288,321,314
288,007,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
288,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,008,288,321,314
292,009,288,321,314
292,009,288,321,314
292,009,288,321,314
292,009,288,321,314
292,009,288,321,314
292,009,288,321,314
292,009,288,321,314
292,009,288,321,314
292,010,288,321,314
292,010,288,321,314
292,010,288,321,314
292,010,288,321,314
292,010,288,321,314
293,010,288,321,314
293,010,288,321,314
293,010,288,321,314
293,010,288,321,314
293,010,288,321,314
293,010,288,321,314
293,010,288,321,314
293,010,288,321,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,288,322,314
293,010,289,322,314
293,010,289,322,314
293,010,289,322,314
293,010,289,322,314
293,010,289,322,316
293,010,289,322,316
293,010,289,322,316
293,010,289,322,316
293,010,289,322,316
293,010,289,322,316
293,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,316
294,010,289,322,317
294,010,289,322,317
294,010,289,322,317
294,010,289,322,317
294,010,289,322,317
294,010,289,322,317
294,011,289,322,317
294,011,289,322,317
294,011,289,322,317
294,011,289,322,317
294,011,289,322,317
294,011,289,322,317
294,011,289,322,317
294,011,289,322,317
294,013,289,322,317
294,013,289,322,317
294,013,289,322,317
294,013,289,322,317
294,013,289,322,317
294,013,289,322,317
294,014,289,322,317
