WILD Winter-Late Steelhead,HATCHERY Summer Steelhead,HATCHERY Winter Steelhead,HATCHERY Winter-Late Steelhead,HATCHERY Type N Coho
096,196,014,091,296
096,196,014,091,296
096,196,014,091,296
096,196,014,092,299
097,196,014,092,299
097,197,014,092,299
097,197,014,092,299
097,197,014,092,302
097,197,014,092,303
097,197,014,092,303
097,197,014,092,307
097,197,014,092,308
098,197,014,092,308
098,197,014,092,308
098,197,014,092,308
098,197,014,093,308
098,197,014,093,308
098,197,014,093,308
098,197,014,093,308
098,197,014,093,308
098,197,014,093,313
099,197,014,093,313
099,197,014,093,313
099,198,014,093,313
099,198,014,093,313
099,198,014,093,313
100,198,014,093,313
100,198,014,093,313
100,198,014,093,313
100,198,014,093,313
100,198,014,093,313
100,198,014,093,313
100,198,015,093,313
101,198,015,093,313
101,198,015,093,313
102,198,015,093,313
102,198,015,093,313
102,198,015,093,313
102,198,015,093,314
102,198,015,093,314
102,198,015,093,314
102,198,015,093,314
102,198,016,093,314
102,198,016,093,314
102,198,016,093,314
102,198,016,093,314
102,198,018,093,314
103,198,018,093,314
103,198,018,093,314
103,198,018,093,314
103,198,018,093,318
103,198,018,093,318
103,198,018,093,318
103,199,018,093,318
103,199,018,094,318
103,199,018,094,318
103,199,018,094,318
103,199,018,094,318
104,199,018,094,318
104,199,018,094,318
104,199,018,094,318
104,199,018,094,318
104,199,018,094,318
104,199,018,094,318
104,199,018,094,318
105,199,018,094,318
105,199,018,094,318
105,199,018,094,318
105,199,018,094,318
105,199,018,094,318
105,199,018,094,318
105,199,018,094,318
105,199,018,094,318
105,199,018,094,318
105,199,018,094,318
105,199,018,094,318
105,199,019,094,318
106,200,019,094,319
106,200,019,094,319
106,201,019,094,319
106,201,019,094,319
106,201,019,094,319
106,201,019,094,319
106,201,019,094,319
106,201,019,095,319
106,201,019,095,319
106,201,019,095,320
106,201,019,095,320
106,201,019,095,320
106,201,020,095,320
106,201,020,095,320
106,201,020,095,320
106,201,020,095,320
106,201,020,095,320
106,201,020,095,320
106,201,020,095,321
107,201,020,095,321
107,201,020,095,321
107,201,020,095,321
107,201,020,095,321
107,201,020,095,321
107,201,020,095,321
107,201,020,095,321
108,201,020,095,321
108,201,020,095,323
108,201,021,095,323
109,201,021,095,323
109,202,021,095,323
109,202,021,095,323
109,202,021,095,323
109,202,021,095,323
110,202,021,095,323
110,202,021,095,323
110,202,021,095,323
110,202,021,095,323
110,202,021,095,323
110,202,021,095,323
111,202,021,095,323
111,202,021,095,323
111,202,021,095,323
111,202,021,095,323
111,202,021,095,324
112,202,021,095,324
112,202,021,095,324
112,202,021,095,324
112,202,021,095,325
112,202,021,095,325
113,202,022,095,327
113,202,022,095,327
113,202,022,095,327
113,202,022,095,327
113,202,022,095,327
113,202,023,095,327
113,203,023,095,327
113,203,023,096,328
113,203,023,096,328
113,203,024,096,328
114,203,024,096,328
114,203,024,096,328
114,203,024,096,328
114,203,024,096,328
114,203,024,096,328
114,203,024,096,328
114,203,024,096,328
115,203,024,096,328
115,203,024,096,328
115,203,024,096,328
115,203,024,096,328
115,203,024,096,328
115,203,024,096,328
116,203,024,096,328
116,203,024,096,328
116,203,024,096,328
116,203,024,096,328
116,203,024,096,328
117,203,024,096,328
117,203,024,096,328
117,204,024,096,328
117,204,024,096,328
118,204,024,096,328
119,204,024,096,328
119,204,024,096,328
119,204,024,096,328
120,204,024,096,328
120,204,024,096,328
121,204,024,096,328
121,204,025,096,328
123,204,025,096,328
123,204,025,096,328
123,204,025,096,328
124,204,025,096,328
124,204,027,096,328
125,204,027,096,328
125,204,027,096,328
125,204,027,096,328
126,204,027,096,328
130,204,027,096,328
130,204,027,096,328
131,204,027,096,328
132,204,027,096,328
137,204,027,096,328
144,204,027,096,328
144,204,027,096,328
144,204,028,096,328
144,204,028,096,330
144,204,028,096,330
,205,028,096,330
,205,029,096,330
,205,029,096,330
,205,029,097,330
,205,029,097,330
,205,029,097,330
,205,029,097,330
,205,029,097,332
,205,029,097,332
,205,029,097,332
,205,029,097,332
,205,029,097,332
,205,029,097,332
,205,029,097,332
,205,029,097,332
,205,029,097,332
,205,029,098,332
,205,029,098,332
,205,029,098,332
,205,029,098,332
,206,029,098,332
,206,029,098,332
,206,029,098,332
,206,029,098,332
,206,029,098,332
,206,029,098,332
,206,029,098,332
,206,029,098,332
,206,029,098,332
,206,029,098,332
,206,029,098,332
,206,029,098,332
,206,029,098,332
,206,029,099,332
,206,029,099,333
,206,029,099,333
,206,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,207,029,099,333
,208,030,099,333
,208,030,099,333
,208,030,099,333
,208,030,099,333
,208,030,099,333
,208,031,099,333
,208,031,099,333
,208,031,099,334
,208,031,099,334
,208,032,099,334
,208,032,099,334
,208,032,099,334
,208,032,099,334
,208,033,099,334
,208,033,099,334
