HATCHERY Fall Chinook,HATCHERY  Coho
220,245
220,247
221,248
221,266
221,266
221,266
223,266
223,266
223,266
223,266
223,266
223,266
223,276
224,276
224,276
224,276
224,276
224,276
224,276
225,276
225,276
225,276
226,276
226,276
226,276
226,276
227,276
229,276
229,276
229,276
229,276
229,276
229,276
229,276
229,276
229,276
229,276
229,279
230,279
230,280
230,280
230,280
230,281
230,282
231,284
231,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
232,284
233,284
233,285
233,285
233,285
233,285
233,286
233,286
233,286
233,286
233,286
233,286
233,286
233,286
233,286
234,286
234,286
234,286
234,286
234,286
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,287
234,288
234,288
234,288
234,288
234,288
234,288
234,288
234,288
234,288
234,288
235,288
235,288
235,288
235,288
235,288
235,288
235,288
235,288
235,288
235,288
235,289
235,290
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,291
235,292
235,292
235,292
235,292
235,292
235,292
235,292
235,292
235,292
235,292
235,293
235,293
235,293
235,293
235,293
235,293
235,294
235,296
235,296
235,296
235,296
235,296
235,296
235,296
235,296
235,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
236,296
237,296
237,296
237,296
237,296
237,296
237,296
237,296
237,296
237,296
237,296
237,297
237,297
238,297
238,297
238,297
238,297
238,297
238,297
238,297
238,298
238,298
238,298
238,298
238,298
238,298
238,298
238,298
238,298
238,298
239,298
239,298
239,298
239,298
239,298
239,298
239,298
239,298
239,298
239,298
239,298
239,298
239,298
239,298
240,298
240,298
240,298
240,298
240,298
240,298
240,298
240,298
240,298
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,299
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,300
240,301
240,301
240,302
240,302
240,302
240,302
240,302
240,302
240,302
240,302
240,302
240,302
240,302
240,302
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,303
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
240,304
241,304
241,304
241,304
241,304
241,304
241,305
241,305
241,305
241,305
241,305
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
241,306
242,306
242,306
242,306
242,306
242,306
242,306
243,306
243,306
244,306
244,306
244,306
244,306
244,306
244,306
244,306
244,306
244,306
244,306
244,306
244,306
244,306
244,306
244,306
244,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
245,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
246,306
247,306
247,306
247,306
247,306
247,306
247,306
247,306
247,306
247,306
247,306
247,306
247,306
247,306
247,306
247,306
248,306
248,306
248,306
248,306
248,306
248,306
248,306
248,306
248,307
248,307
248,307
248,307
248,307
248,307
248,307
248,307
248,307
248,307
248,307
248,307
248,307
248,307
248,307
248,307
248,307
248,307
248,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,307
249,309
249,309
249,309
249,309
249,309
249,309
249,309
249,309
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,310
249,312
249,312
249,313
249,313
249,313
249,313
249,313
249,313
249,313
249,313
249,314
249,314
249,314
249,314
249,314
249,314
249,314
249,314
249,314
249,314
249,316
249,317
249,317
249,317
249,317
249,317
249,317
249,318
249,318
249,318
249,318
249,318
249,318
249,318
249,318
249,318
249,318
249,318
249,318
249,318
249,319
249,319
249,319
249,319
249,319
249,319
249,319
249,319
249,319
249,319
249,319
249,319
249,319
249,319
249,319
249,319
249,319
249,320
249,320
249,320
249,320
249,320
249,320
249,320
249,320
249,320
249,320
249,320
249,320
249,320
249,320
249,320
249,321
249,321
249,322
250,323
250,323
250,323
250,323
250,323
250,323
250,323
250,323
250,323
250,323
250,323
250,323
250,323
250,323
250,323
250,323
250,323
250,323
250,324
250,324
250,324
250,324
250,325
250,326
250,329
250,330
250,330
250,330
251,330
251,330
251,331
251,331
251,331
251,331
251,331
251,331
251,331
251,331
251,331
251,331
251,331
251,331
251,331
251,331
251,331
251,331
251,331
251,331
251,332
251,333
251,333
251,334
251,335
251,335
251,335
251,335
251,335
251,335
251,335
251,335
251,335
251,335
251,335
251,335
251,335
251,335
251,335
251,335
251,335
251,335
252,335
252,335
252,335
252,335
252,335
252,335
252,335
252,335
252,335
252,335
252,335
253,335
253,335
253,335
253,335
253,335
253,335
253,335
253,335
253,335
253,335
253,335
253,335
253,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
254,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
255,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,335
256,336
256,337
256,337
256,337
256,337
257,337
257,337
257,337
257,337
257,337
257,337
257,337
257,337
257,337
257,337
258,337
258,337
258,337
258,337
258,337
258,337
258,337
258,337
258,337
258,338
258,340
258,340
258,340
258,340
258,340
258,340
258,340
258,340
258,344
258,344
258,344
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,346
258,352
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
258,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
259,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
261,
261,
261,
261,
261,
261,
261,
261,
261,
261,
261,
261,
261,
261,
261,
261,
261,
261,
261,
261,
261,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
262,
263,
263,
263,
263,
263,
263,
263,
263,
263,
263,
263,
263,
263,
263,
263,
263,
263,
263,
263,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
264,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
265,
266,
266,
266,
266,
266,
266,
266,
