WILD Spring Chinook,WILD Summer Chinook,HATCHERY Spring Chinook,HATCHERY Summer Chinook,WILD Summer Steelhead,HATCHERY Summer Steelhead
,207,,201,242,235
,207,,201,242,235
,207,,201,242,235
,207,,201,242,236
,207,,201,242,236
,207,,201,242,236
,207,,201,242,236
,207,,201,242,236
,207,,201,243,236
,208,,201,243,237
,208,,201,243,237
,208,,201,243,237
,208,,201,246,237
,208,,201,246,237
,208,,201,246,237
,208,,201,246,237
,208,,201,246,237
,208,,201,246,237
,208,,201,247,238
,208,,201,248,238
,208,,201,248,238
,208,,201,249,238
,208,,201,249,238
,208,,201,249,238
,208,,202,249,238
,209,,202,249,238
,209,,202,249,238
,209,,202,249,238
,209,,202,249,238
,209,,202,249,238
,209,,202,249,239
,209,,202,249,239
,209,,202,249,239
,209,,203,249,239
,210,,203,249,239
,210,,203,249,239
,210,,203,249,239
,210,,203,249,239
,210,,203,249,239
,210,,203,249,239
,212,,203,249,240
,212,,203,249,240
,212,,203,249,240
,212,,203,249,240
,212,,203,249,240
,212,,203,249,240
,212,,203,249,240
,212,,203,249,240
,212,,203,249,240
,213,,203,249,240
,213,,203,250,241
,213,,203,250,241
,213,,204,250,241
,213,,204,250,241
,213,,204,250,241
,213,,204,250,241
,214,,204,252,242
,214,,204,252,242
,214,,204,252,242
,214,,205,253,242
,214,,205,253,243
,214,,205,253,243
,214,,205,254,243
,214,,205,254,244
,214,,205,254,244
,214,,205,254,244
,214,,205,254,245
,214,,206,254,245
,215,,206,254,245
,215,,206,254,245
,215,,206,254,246
,215,,206,255,246
,215,,206,255,246
,215,,206,255,246
,215,,206,255,246
,215,,206,255,246
,215,,206,256,246
,216,,207,256,246
,216,,207,256,246
,216,,207,256,247
,216,,207,256,247
,216,,207,256,247
,217,,207,256,247
,217,,207,257,248
,217,,207,257,248
,217,,207,257,248
,217,,207,257,248
,217,,207,257,248
,217,,207,257,248
,217,,207,257,248
,217,,207,257,249
,217,,207,257,249
,217,,207,259,249
,217,,207,259,249
,217,,207,259,249
,217,,207,259,249
,217,,207,259,249
,217,,207,259,249
,217,,207,260,249
,217,,207,260,249
,217,,207,260,249
,217,,207,260,250
,218,,207,260,250
,218,,207,261,250
,218,,207,261,250
,218,,207,261,250
,218,,208,261,250
,218,,208,261,250
,218,,208,261,251
,218,,208,261,251
,218,,208,261,251
,218,,208,261,252
,218,,208,262,252
,218,,208,262,252
,218,,208,262,252
,218,,208,262,252
,218,,208,263,252
,218,,208,263,252
,218,,208,263,252
,218,,208,263,252
,218,,208,264,252
,218,,208,264,252
,218,,209,264,253
,219,,209,264,253
,219,,209,264,253
,219,,209,264,253
,219,,209,264,253
,219,,209,264,253
,219,,209,266,253
,219,,209,266,253
,219,,209,266,254
,219,,209,266,254
,219,,209,266,254
,219,,209,266,254
,219,,209,267,254
,219,,209,267,254
,219,,209,267,254
,219,,209,267,254
,219,,210,267,254
,219,,210,267,254
,219,,210,268,255
,219,,210,268,255
,219,,210,268,255
,219,,210,268,255
,219,,210,268,255
,219,,210,268,255
,219,,210,268,255
,219,,210,268,255
,219,,210,269,256
,219,,210,269,256
,219,,211,269,256
,219,,212,269,256
,219,,212,270,256
,219,,212,270,256
,220,,212,270,256
