WILD Winter Steelhead,WILD Winter-Late Steelhead,HATCHERY Summer Steelhead,HATCHERY Winter Steelhead
167,103,217,011
167,103,217,011
167,103,217,011
167,103,217,011
167,103,217,011
,103,217,011
,103,217,011
,103,217,011
,103,217,011
,103,217,011
,103,217,011
,103,217,011
,103,217,011
,103,218,011
,103,218,011
,103,218,011
,103,218,011
,103,218,011
,103,220,011
,103,220,011
,103,220,011
,103,220,011
,103,220,011
,103,220,011
,103,220,011
,103,220,011
,103,220,011
,103,220,011
,103,220,011
,103,220,011
,103,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,105,220,011
,106,220,011
,106,220,011
,106,220,011
,106,222,011
,106,222,011
,106,222,012
,106,222,012
,106,222,012
,106,222,012
,106,222,012
,107,222,012
,107,222,012
,107,222,012
,107,222,012
,107,222,012
,107,222,012
,107,222,012
,107,222,012
,107,223,012
,107,223,012
,107,223,012
,107,223,012
,107,223,015
,107,223,015
,107,223,015
,107,223,015
,107,223,015
,107,223,015
,107,223,015
,107,223,015
,108,223,015
,108,223,015
,108,223,015
,109,223,015
,109,223,015
,109,225,015
,109,225,015
,109,225,015
,109,225,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,227,015
,109,228,015
,109,228,015
,109,228,015
,109,228,015
,110,228,015
,110,228,015
,110,228,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,015
,110,229,016
,110,229,016
,110,229,016
,110,230,016
,110,230,016
,110,230,016
,110,230,016
,110,230,016
,110,230,016
,110,230,016
,110,231,016
,110,231,016
,110,231,016
,110,231,016
,110,232,016
,110,232,016
,110,232,016
,110,232,016
,110,232,016
,110,232,016
,110,232,016
,110,232,016
,110,232,016
,110,232,016
,110,232,016
,110,232,016
,110,234,016
,110,234,016
,110,234,016
,110,234,017
,110,234,017
,110,234,017
,110,234,017
,110,234,017
,110,234,017
,110,234,017
,110,234,017
,110,234,017
,110,234,017
,110,234,017
,110,234,017
,110,234,017
,110,235,017
,110,235,017
,110,235,017
,110,235,017
,110,235,017
,110,235,017
,111,235,017
,112,235,017
,112,235,017
,112,235,017
,112,237,017
,112,237,017
,112,237,017
,112,237,017
,112,237,017
,112,237,017
,112,237,017
,114,237,017
,114,237,017
,114,237,017
,114,237,017
,114,237,017
,114,237,017
,114,238,017
,114,238,017
,114,238,017
,114,238,017
,114,239,017
,114,239,017
,114,239,017
,115,240,017
,115,241,019
,115,241,019
,115,241,019
,115,241,019
,115,241,019
,116,241,019
,116,241,019
,116,241,019
,116,241,019
,116,241,019
,116,241,019
,116,242,019
,116,242,019
,116,242,019
,117,242,019
,117,242,020
,117,242,020
,117,242,020
,117,243,020
,117,243,020
,117,245,020
,117,245,020
,117,248,020
,119,248,020
,119,248,020
,119,248,020
,119,248,020
,119,248,020
,119,248,020
,119,248,020
,119,248,020
,119,248,020
,119,248,021
,119,250,021
,119,250,021
,119,250,021
,119,253,021
,119,253,021
,119,253,022
,119,255,022
,119,255,022
,119,255,022
,119,255,022
,119,255,022
,119,255,022
,119,255,022
,119,255,022
,122,255,022
,123,255,022
,124,258,022
,124,259,022
,124,259,022
,124,262,022
,124,262,022
,124,262,022
,124,262,022
,124,262,022
,124,263,022
,124,263,022
,124,264,022
,124,266,022
,126,266,022
,126,269,022
,126,269,022
,126,269,022
,126,269,022
,126,269,022
,126,269,022
,126,271,022
,126,271,022
,126,271,022
,126,271,024
,127,271,024
,128,271,024
,128,272,024
,128,273,024
,128,273,024
,130,273,024
,131,273,024
,131,273,024
,131,273,024
,131,273,024
,131,275,024
,131,276,024
,131,276,024
,131,276,024
,131,276,025
,132,276,025
,132,278,025
,132,279,026
,132,279,026
,132,279,026
,132,279,026
,132,279,026
,132,279,026
,132,279,026
,135,280,028
,135,280,028
,135,280,028
,135,280,030
,135,280,030
,135,280,030
,135,280,030
,135,283,030
,135,283,030
,,283,030
,,283,030
,,283,030
,,283,033
,,283,033
,,283,033
,,283,033
,,283,033
,,283,033
,,285,033
,,285,033
,,285,033
,,285,033
,,285,039
,,285,039
,,285,039
,,285,039
,,285,039
,,287,039
,,287,039
,,287,039
,,287,039
,,287,039
,,287,039
,,287,039
,,287,039
,,287,039
,,287,039
,,287,039
,,287,039
,,287,088
,,287,088
,,289,088
,,289,088
,,289,088
,,289,088
,,289,088
,,289,088
,,289,088
,,290,088
,,290,088
,,290,088
,,290,088
,,290,088
,,290,088
,,290,088
,,290,088
,,290,088
,,290,088
,,290,088
,,290,095
,,290,095
,,290,095
,,290,095
,,290,095
,,290,095
,,290,095
,,290,095
,,290,095
,,290,095
,,292,095
,,292,095
,,292,095
,,292,095
,,294,095
,,294,095
,,294,095
,,294,095
,,294,095
,,294,095
,,294,108
,,294,108
,,294,108
,,294,108
,,294,108
,,299,108
,,301,108
,,301,108
,,301,108
,,301,108
,,301,108
,,301,108
,,301,108
,,301,108
,,302,108
,,302,108
,,302,108
,,306,108
,,306,108
,,309,108
,,313,108
,,313,108
,,314,108
,,314,108
,,321,108
,,321,108
,,322,108
,,322,108
,,322,108
,,322,108
,,322,108
,,322,108
,,322,108
,,322,108
,,322,108
,,322,108
,,322,108
,,322,108
,,322,108
,,322,108
,,322,302
,,322,309
,,322,309
,,322,309
,,322,322
,,322,322
,,322,322
,,322,322
,,322,322
,,322,322
,,322,328
,,322,328
,,322,328
,,322,328
,,322,329
,,322,335
,,322,335
,,322,338
,,322,338
,,322,338
,,322,340
,,322,340
,,322,340
,,322,340
,,322,340
,,322,340
,,322,340
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,342
,,322,344
,,322,344
,,322,344
,,322,344
,,322,344
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,345
,,322,346
,,322,346
,,322,346
,,322,346
,,322,346
,,322,347
,,322,347
,,322,347
,,322,347
,,322,347
,,322,347
,,322,347
,,322,347
,,336,347
,,338,347
,,350,347
,,350,347
,,,347
,,,347
,,,347
,,,347
,,,347
,,,347
,,,347
,,,347
,,,347
,,,347
,,,347
,,,347
,,,347
,,,347
,,,347
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,349
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,350
,,,351
,,,351
,,,351
,,,351
,,,351
,,,351
,,,351
,,,351
,,,351
,,,351
,,,351
,,,352
,,,352
,,,352
,,,352
,,,352
,,,352
,,,352
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,353
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,354
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,355
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,356
,,,357
,,,357
,,,357
,,,357
,,,357
,,,357
,,,357
,,,357
,,,357
,,,357
,,,357
,,,357
,,,357
,,,357
,,,357
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,360
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,361
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,362
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,363
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
,,,364
