WILD Spring Chinook,HATCHERY Spring Chinook,WILD Summer Steelhead,HATCHERY Summer Steelhead
152,148,107,111
152,148,107,111
152,148,107,111
152,148,107,111
153,148,107,111
153,148,107,111
153,148,107,111
153,148,107,111
153,148,107,111
153,148,107,111
153,148,107,112
153,148,107,112
153,148,107,112
153,148,107,112
153,148,108,112
154,148,108,112
154,148,108,112
154,148,108,112
154,148,108,112
154,148,108,112
154,148,108,112
154,148,108,112
154,149,108,112
154,149,108,112
154,149,108,112
154,149,108,112
155,149,109,112
155,149,109,112
155,149,109,112
155,149,109,112
155,149,109,112
156,149,109,112
156,149,109,112
156,149,109,112
156,149,109,112
156,149,109,112
156,149,109,112
156,149,109,112
156,149,109,112
157,149,109,112
157,149,109,112
157,149,109,112
157,149,109,112
157,149,109,112
157,149,109,112
157,149,110,112
157,149,110,112
157,149,110,112
157,150,110,112
157,150,110,113
158,150,110,113
158,150,110,113
158,150,110,113
158,150,110,113
158,150,110,113
158,150,110,113
159,150,110,113
159,150,110,114
159,150,110,114
159,150,110,114
159,150,110,114
159,150,111,114
159,150,111,114
159,150,111,114
159,150,111,114
160,150,111,114
160,150,111,114
161,150,111,114
161,150,111,114
162,150,111,114
162,150,111,114
162,150,111,114
162,150,111,114
162,150,111,114
163,150,111,114
163,150,111,114
163,151,111,114
163,151,111,114
163,151,112,114
163,151,112,115
163,151,112,115
164,151,112,115
164,151,112,115
164,151,112,115
164,151,112,115
164,151,112,115
164,151,112,116
164,151,112,116
164,151,112,116
164,151,112,116
164,151,112,116
164,151,112,116
165,151,112,116
165,151,112,116
165,151,112,116
165,151,112,116
165,151,112,117
165,152,112,117
165,152,112,117
165,152,112,117
165,152,112,117
166,152,112,117
166,152,112,117
166,152,112,117
166,152,112,117
166,152,112,117
166,152,112,117
168,152,112,117
168,152,112,117
169,152,112,118
169,152,112,118
169,152,112,118
169,152,112,118
169,152,112,118
170,152,112,118
170,152,112,118
170,152,112,118
170,152,112,118
170,152,112,118
170,152,112,118
170,153,112,118
171,153,113,118
171,153,113,118
171,153,113,118
171,153,113,118
171,153,113,118
172,153,113,119
172,153,113,119
172,153,113,119
172,153,113,119
172,153,113,119
172,153,113,119
172,153,113,119
172,153,113,119
173,153,113,119
173,153,113,119
173,153,113,119
174,153,113,120
174,153,113,120
174,153,113,120
174,153,114,120
174,153,114,120
174,153,114,120
175,153,114,121
175,153,114,121
177,153,115,121
177,153,115,121
177,153,115,121
177,153,115,121
177,153,115,121
178,154,115,122
178,154,115,122
178,154,115,122
178,154,115,122
179,154,116,122
179,154,116,122
179,154,116,122
179,154,116,122
180,154,116,122
180,154,116,122
180,154,116,122
180,154,116,122
180,154,116,122
180,154,116,122
180,154,116,122
180,154,117,122
180,154,117,122
181,155,117,122
181,155,117,123
181,155,117,123
182,155,117,123
183,155,117,123
185,155,117,124
185,155,117,124
186,155,117,124
186,155,117,124
186,155,117,124
186,155,118,124
186,155,118,125
187,155,118,125
187,155,118,125
187,155,118,125
188,155,118,125
188,155,118,125
189,155,118,125
189,155,118,125
191,156,118,125
192,156,118,125
193,156,118,126
195,156,118,126
195,156,118,126
195,156,118,126
196,156,118,127
196,156,118,127
196,156,118,128
196,156,118,128
196,156,118,128
196,156,119,128
196,156,119,131
196,156,119,132
196,156,119,132
196,156,119,132
196,156,119,132
196,156,119,133
197,156,119,135
197,156,120,143
198,156,120,144
198,156,120,144
200,156,120,
203,156,120,
206,156,121,
207,157,121,
207,157,121,
207,157,121,
207,157,121,
207,157,121,
207,157,121,
207,157,121,
207,157,121,
207,157,121,
207,157,121,
207,157,121,
207,157,121,
207,157,121,
207,157,121,
207,157,122,
207,157,122,
207,157,122,
207,157,122,
207,157,122,
207,157,122,
207,157,122,
207,157,122,
207,157,122,
207,157,122,
207,157,122,
207,157,122,
207,157,122,
207,157,122,
207,157,123,
207,157,123,
207,158,123,
207,158,124,
207,158,124,
207,158,124,
207,158,124,
207,158,124,
207,158,124,
207,158,124,
207,158,124,
207,158,125,
207,158,125,
207,158,126,
207,158,126,
207,158,126,
207,158,127,
207,158,127,
207,158,129,
207,159,131,
207,159,132,
207,159,133,
207,159,133,
207,159,133,
207,159,134,
207,159,135,
207,159,135,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,159,144,
207,160,144,
207,160,144,
207,160,144,
207,160,144,
207,160,144,
207,160,144,
207,160,144,
207,160,144,
207,160,144,
207,160,144,
207,160,144,
207,160,144,
207,160,144,
207,160,144,
207,160,144,
209,161,144,
216,161,144,
220,161,144,
223,161,144,
224,161,144,
226,161,144,
226,161,,
226,161,,
226,161,,
226,161,,
226,161,,
226,161,,
226,162,,
226,162,,
226,162,,
226,162,,
226,162,,
226,162,,
226,162,,
226,162,,
226,162,,
226,162,,
226,162,,
226,162,,
226,162,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,163,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,164,,
226,165,,
226,165,,
226,165,,
226,165,,
226,165,,
226,165,,
226,165,,
226,165,,
226,165,,
226,165,,
226,165,,
226,165,,
226,165,,
226,165,,
226,165,,
226,165,,
226,166,,
226,166,,
226,166,,
226,166,,
226,166,,
226,166,,
239,166,,
239,166,,
239,166,,
239,166,,
239,166,,
239,167,,
239,167,,
239,167,,
239,167,,
239,167,,
239,167,,
239,167,,
239,167,,
239,167,,
239,167,,
239,167,,
239,167,,
239,168,,
239,168,,
239,168,,
239,168,,
239,168,,
239,168,,
239,168,,
239,168,,
239,168,,
239,169,,
239,169,,
239,169,,
246,169,,
246,169,,
246,169,,
246,169,,
246,169,,
246,169,,
246,169,,
246,169,,
246,169,,
246,169,,
246,169,,
246,169,,
246,169,,
246,169,,
246,169,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
246,170,,
253,170,,
253,171,,
253,171,,
253,171,,
253,171,,
253,171,,
253,171,,
255,171,,
255,171,,
255,171,,
255,171,,
255,171,,
255,171,,
255,171,,
255,171,,
260,171,,
260,171,,
260,171,,
260,171,,
260,171,,
260,171,,
260,171,,
260,171,,
260,171,,
260,171,,
260,171,,
260,171,,
260,171,,
260,171,,
,171,,
,171,,
,171,,
,171,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,172,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,173,,
,174,,
,174,,
,174,,
,174,,
,174,,
,174,,
,174,,
,174,,
,174,,
,174,,
,175,,
,175,,
,175,,
,175,,
,175,,
,175,,
,175,,
,175,,
,175,,
,176,,
,176,,
,176,,
,176,,
,176,,
,176,,
,176,,
,176,,
,176,,
,176,,
,176,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,177,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,178,,
,179,,
,179,,
,179,,
,179,,
,179,,
,179,,
,179,,
,179,,
,179,,
,179,,
,179,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,180,,
,181,,
,181,,
,181,,
,181,,
,181,,
,181,,
,181,,
,181,,
,181,,
,181,,
,181,,
,181,,
,181,,
,181,,
,181,,
,182,,
,182,,
,182,,
,182,,
,182,,
,182,,
,182,,
,182,,
,182,,
,182,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,183,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,184,,
,185,,
,185,,
,185,,
,185,,
,185,,
,185,,
,185,,
,186,,
,186,,
,186,,
,186,,
,186,,
,187,,
,187,,
,187,,
,187,,
,187,,
,187,,
,187,,
,187,,
,187,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,188,,
,189,,
,189,,
,189,,
,189,,
,189,,
,189,,
,189,,
,190,,
,190,,
,190,,
,191,,
,191,,
,191,,
,191,,
,191,,
,192,,
,192,,
,192,,
,192,,
,192,,
,193,,
,193,,
,193,,
,193,,
,193,,
,194,,
,194,,
,194,,
,194,,
,194,,
,194,,
,194,,
,194,,
,195,,
,195,,
,195,,
,195,,
,195,,
,195,,
,196,,
,196,,
,196,,
,196,,
,197,,
,197,,
,197,,
,197,,
,197,,
,198,,
,198,,
,198,,
,198,,
,198,,
,199,,
,199,,
,199,,
,199,,
,200,,
,200,,
,200,,
,201,,
,201,,
,201,,
,202,,
,202,,
,202,,
,202,,
,202,,
,202,,
,202,,
,202,,
,202,,
,202,,
,202,,
,202,,
,203,,
,203,,
,203,,
,204,,
,204,,
,204,,
,204,,
,204,,
,205,,
,205,,
,205,,
,205,,
,205,,
,205,,
,205,,
,205,,
,205,,
,205,,
,205,,
,205,,
,206,,
,207,,
,208,,
,208,,
,208,,
,208,,
,208,,
,209,,
,209,,
,209,,
,210,,
,210,,
,211,,
,213,,
,213,,
,213,,
,213,,
,213,,
,213,,
,213,,
,214,,
,214,,
,214,,
,214,,
,214,,
,214,,
,215,,
,215,,
,215,,
,215,,
,215,,
,215,,
,216,,
,216,,
,216,,
,216,,
,217,,
,218,,
,218,,
,219,,
,224,,
,225,,
,226,,
,228,,
,228,,
,228,,
,228,,
,229,,
,229,,
,230,,
,230,,
,230,,
,230,,
,230,,
,230,,
,231,,
,231,,
,231,,
,231,,
,231,,
,233,,
,233,,
,233,,
,236,,
,236,,
,236,,
,236,,
,236,,
,236,,
,236,,
,236,,
,236,,
,236,,
,237,,
,237,,
,237,,
,238,,
,238,,
,238,,
,239,,
,239,,
,239,,
,239,,
,240,,
,240,,
,240,,
,241,,
,241,,
,241,,
,241,,
,241,,
,243,,
,243,,
,244,,
,244,,
,244,,
,244,,
,244,,
,244,,
,244,,
,246,,
,248,,
,251,,
,251,,
,251,,
,256,,
