HATCHERY Spring Chinook,HATCHERY Fall Chinook,WILD Winter Steelhead,HATCHERY Summer Steelhead,HATCHERY Winter Steelhead,WILD Type S Coho,HATCHERY Type S Coho,HATCHERY Type N Coho
140,250,057,264,009,293,276,298
140,250,057,268,009,293,276,298
140,250,057,268,009,293,276,298
140,250,057,268,009,293,276,298
140,250,057,268,009,293,276,298
140,250,058,268,010,293,276,298
140,250,058,270,010,293,276,298
140,250,058,270,010,293,276,298
140,250,058,272,010,293,276,298
140,250,059,272,010,293,276,298
140,250,059,272,010,293,276,298
140,251,059,272,010,293,276,298
140,251,059,272,010,294,276,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,013,294,278,298
140,251,059,272,013,294,278,298
140,251,059,272,013,294,278,298
140,251,063,272,013,294,280,298
146,251,063,272,013,294,280,298
146,251,063,272,013,294,280,298
146,251,063,272,013,294,280,298
146,251,063,272,013,294,280,299
146,251,063,272,013,294,280,300
146,251,063,272,013,294,280,301
146,251,063,272,013,294,280,301
146,251,063,272,013,294,280,301
146,252,063,272,013,294,280,301
146,252,063,272,013,294,280,301
146,252,063,272,013,294,280,301
146,252,066,272,013,294,280,301
146,252,070,272,014,296,280,301
146,252,070,272,014,296,280,301
146,252,070,272,015,296,280,301
146,252,070,272,015,296,280,301
148,252,070,272,015,296,280,301
148,252,070,272,015,296,280,301
148,252,070,272,015,296,280,301
148,252,070,272,015,296,280,301
148,252,070,272,015,296,280,301
148,252,070,272,015,296,280,301
148,252,070,274,015,296,280,302
148,252,070,274,015,296,280,302
148,252,070,276,015,296,280,302
148,252,070,276,015,296,280,302
148,252,070,276,015,296,280,302
148,252,070,276,015,296,280,302
148,252,070,276,015,296,280,302
148,252,071,276,015,296,280,302
148,252,071,276,015,296,280,302
148,252,071,276,015,296,280,302
148,252,071,276,015,296,280,302
148,252,071,276,015,296,280,302
148,252,071,276,015,296,280,302
148,252,071,276,015,298,280,302
148,252,071,276,015,298,280,302
148,252,071,276,015,298,280,302
148,252,071,281,015,298,280,302
148,252,071,281,015,298,280,302
148,252,071,281,015,298,280,302
148,252,071,282,015,298,280,302
148,253,071,282,015,298,280,302
148,253,071,282,015,298,280,302
148,253,071,282,015,298,280,302
148,253,071,282,015,298,280,302
148,253,071,283,015,298,280,302
148,253,071,283,015,298,280,302
148,253,071,283,015,298,280,302
148,253,071,283,015,298,281,302
148,253,071,283,015,298,281,302
148,253,071,283,015,298,281,302
148,253,071,283,015,298,281,302
151,253,071,283,015,298,281,302
151,253,071,283,015,298,281,302
151,253,071,283,015,298,281,303
151,253,071,283,015,298,281,303
151,253,071,283,015,298,281,303
151,253,071,283,015,298,281,303
151,253,071,283,015,298,281,303
151,253,071,283,015,298,281,303
151,253,071,283,015,298,281,303
151,253,071,283,015,298,281,303
151,253,071,283,015,298,281,303
151,253,071,283,017,298,281,303
151,253,071,283,017,298,281,303
151,253,071,283,019,298,281,303
151,253,071,283,019,298,281,303
151,253,071,283,019,298,281,303
151,253,071,283,019,298,281,303
151,253,071,283,019,298,281,303
151,253,071,283,019,298,281,303
151,253,071,283,019,298,281,303
151,253,071,283,019,298,281,303
151,253,071,283,019,299,281,303
151,253,071,283,019,299,281,303
151,253,071,283,019,299,281,303
151,253,071,283,019,299,281,303
151,253,071,283,019,299,281,303
151,253,071,283,019,299,281,303
151,253,071,284,019,299,281,303
151,253,071,284,019,299,282,303
151,253,071,284,019,299,282,303
151,253,071,284,019,299,282,303
151,253,071,284,019,299,282,303
151,253,071,284,019,299,282,303
151,253,071,284,019,299,282,303
151,253,071,284,019,299,282,303
151,253,071,284,019,299,282,303
151,253,071,284,021,299,282,303
151,253,071,285,021,299,282,303
151,254,071,285,021,299,282,303
151,254,071,285,021,299,282,303
151,254,071,285,021,299,282,303
151,254,071,285,021,299,282,303
151,254,071,285,021,301,282,303
151,254,071,285,021,301,282,303
151,254,071,285,021,301,282,303
151,254,071,285,021,301,282,303
151,254,071,285,021,301,282,303
151,254,071,285,021,301,282,303
151,254,071,285,021,301,282,304
151,254,075,285,021,301,282,304
151,254,075,285,021,301,282,304
151,254,075,285,021,302,282,304
151,254,075,285,021,302,282,304
151,254,082,285,021,302,282,304
151,254,082,285,021,302,282,304
151,254,082,285,021,302,282,304
151,254,088,285,021,302,282,304
151,254,088,285,021,302,282,304
151,254,088,285,022,302,282,304
151,254,088,285,022,302,282,304
151,254,096,285,022,302,282,304
151,254,096,285,022,302,282,304
151,254,096,285,022,302,282,304
151,254,096,285,023,302,282,304
151,254,096,285,023,302,282,304
151,255,104,285,023,302,282,305
151,255,104,285,023,302,282,305
151,255,104,285,023,302,282,305
151,255,104,285,023,306,283,305
151,255,104,285,023,306,283,305
151,255,104,285,023,306,283,305
151,255,104,285,023,306,283,305
151,255,104,285,023,306,283,305
151,255,104,285,023,306,283,305
151,255,104,285,023,306,283,305
151,255,104,289,023,306,283,305
151,255,104,289,023,306,283,305
151,255,104,289,023,306,283,305
151,255,104,289,023,306,283,306
151,255,104,289,023,306,283,306
151,255,104,289,023,306,283,306
151,255,104,289,023,306,283,306
151,255,104,289,023,306,283,306
151,255,104,289,023,306,283,306
151,255,104,289,023,306,283,306
151,255,104,289,023,306,283,306
151,255,104,289,023,306,283,306
151,255,104,289,023,306,283,306
151,255,104,289,023,306,283,306
151,255,105,291,023,306,283,306
151,255,105,291,023,306,283,306
151,256,105,291,023,306,283,306
151,256,105,291,023,306,283,306
151,256,105,291,023,306,283,306
151,256,105,291,023,306,283,306
151,256,105,297,023,306,283,306
151,256,105,297,023,306,283,306
151,256,105,298,023,306,283,306
151,256,105,298,023,306,283,306
151,256,105,298,023,306,283,306
154,256,105,298,023,306,283,306
154,256,105,298,023,306,283,309
154,256,105,298,023,306,283,309
154,256,105,298,023,306,283,309
154,256,105,298,023,306,283,309
154,256,105,298,023,306,283,309
154,256,105,298,023,306,283,309
154,256,108,298,023,306,283,309
154,256,108,298,023,306,283,309
154,256,108,298,023,306,283,309
154,256,108,298,023,306,283,309
154,256,108,298,023,306,283,309
157,256,108,298,023,306,283,309
157,256,108,298,023,306,283,309
157,256,108,298,023,306,283,309
157,256,108,298,023,306,283,309
157,256,108,298,023,306,283,309
157,257,108,298,023,306,283,309
157,257,108,298,023,306,283,309
157,257,108,298,023,306,283,309
157,257,108,298,023,306,283,312
157,257,108,298,023,306,283,312
157,257,108,298,023,306,283,312
157,257,108,298,023,306,283,312
157,257,108,298,023,306,283,312
157,257,108,298,023,306,283,312
157,257,108,299,023,306,283,312
157,257,108,303,023,306,283,312
157,257,108,303,023,306,283,312
157,257,108,303,023,306,283,312
157,257,108,303,023,306,283,312
157,257,108,303,023,306,283,312
157,257,108,303,024,306,283,312
157,257,108,303,024,306,283,312
157,257,108,312,024,306,283,312
157,257,108,312,024,306,283,312
157,257,108,312,024,306,283,312
157,257,108,312,024,306,283,312
157,257,108,312,024,306,283,312
157,257,108,312,024,306,283,312
157,257,108,312,024,312,283,312
157,257,108,312,024,312,283,312
157,257,108,312,024,312,284,312
157,257,108,312,024,312,284,312
157,257,108,312,024,312,284,312
157,257,108,312,024,312,284,312
157,257,108,312,024,312,284,312
157,257,108,312,025,312,286,312
157,257,115,312,025,312,286,312
157,257,115,312,025,312,286,312
157,257,115,312,025,312,286,312
157,257,115,315,025,312,286,312
159,257,115,315,025,312,286,312
159,257,115,315,025,312,286,312
159,257,115,315,025,312,286,312
159,257,115,315,025,312,286,312
159,257,115,315,025,312,286,312
159,258,115,315,025,312,286,312
159,258,115,315,025,312,286,312
159,258,115,315,025,312,286,312
159,258,115,315,027,312,286,312
159,258,115,315,027,312,286,312
159,258,115,319,027,312,286,312
159,258,115,319,027,312,286,312
159,258,115,319,027,312,286,312
159,258,115,319,027,312,286,312
159,258,115,319,027,312,286,312
159,258,115,319,027,312,286,312
159,258,115,319,027,312,286,312
159,258,115,325,027,312,286,312
159,258,115,325,027,312,286,312
159,258,115,325,027,312,286,312
159,258,115,325,027,312,286,312
159,258,115,332,027,312,286,312
159,258,115,332,027,312,286,312
159,258,115,332,027,312,286,312
159,258,115,332,028,312,286,312
159,258,116,332,028,312,286,312
159,258,116,332,028,312,286,312
159,258,116,332,028,312,286,312
159,258,119,332,028,312,286,312
159,258,119,332,028,312,286,312
