WILD Fall Chinook,HATCHERY Fall Chinook,WILD Type S Coho,HATCHERY Type S Coho
294,269,307,297
294,269,307,297
294,269,307,297
295,269,307,297
296,269,307,297
296,269,308,299
296,269,308,299
296,269,309,299
297,269,309,299
297,269,309,299
297,269,309,299
297,269,309,300
297,269,310,300
297,269,310,300
297,269,310,300
297,269,310,301
297,269,311,301
297,269,311,301
297,269,311,301
298,269,311,301
298,269,312,301
298,269,312,301
298,269,312,301
298,269,312,302
298,269,312,302
298,269,314,302
298,269,314,302
298,269,314,302
298,269,314,302
298,270,317,302
298,270,317,302
298,270,318,302
298,270,318,302
298,270,318,302
298,270,318,303
298,270,318,303
298,270,318,303
298,270,318,303
298,270,318,303
298,270,319,303
298,270,319,303
298,270,319,303
298,270,319,303
298,270,319,303
298,270,319,303
298,270,319,305
298,270,319,305
298,270,319,305
298,270,319,305
298,270,319,305
298,270,319,305
298,270,320,305
298,270,320,306
299,270,320,306
299,270,320,306
299,270,320,306
299,270,320,306
299,270,320,306
299,270,320,306
299,270,320,306
299,270,320,306
299,270,320,306
299,270,320,306
299,271,320,306
299,271,320,306
299,271,320,306
299,271,320,306
299,271,320,306
299,271,320,306
299,271,320,306
299,271,320,306
299,271,320,306
299,271,320,306
299,271,321,307
299,271,321,307
300,271,321,307
300,271,321,307
300,271,321,307
300,271,321,307
300,271,321,308
300,271,321,308
300,271,321,308
300,271,321,308
300,271,321,309
300,271,321,309
300,271,323,309
300,271,323,309
300,271,323,309
300,271,323,309
300,271,323,309
300,271,323,309
300,271,326,309
300,271,326,309
300,271,326,309
300,272,326,310
301,272,326,310
301,272,328,310
301,272,328,310
301,272,330,310
301,272,330,310
301,272,332,310
301,272,332,310
301,272,332,310
301,272,332,310
301,272,332,310
301,272,332,310
302,272,332,310
302,272,,310
302,272,,310
302,272,,311
302,272,,311
303,272,,311
303,272,,311
303,272,,311
303,272,,311
303,272,,311
303,272,,311
303,273,,312
303,273,,312
303,273,,312
303,273,,312
303,273,,312
303,273,,312
303,273,,312
303,273,,312
303,273,,312
303,273,,312
303,273,,312
303,273,,312
303,273,,312
303,273,,313
303,273,,313
303,273,,313
303,273,,313
303,273,,313
303,273,,313
303,273,,313
303,273,,313
304,273,,313
304,273,,313
304,273,,313
304,273,,313
304,273,,313
304,273,,313
304,273,,313
304,273,,313
304,273,,313
304,273,,313
304,273,,313
304,274,,313
304,274,,313
304,274,,313
304,274,,313
304,274,,313
304,274,,313
304,274,,313
304,274,,313
304,274,,313
304,274,,313
304,274,,313
304,274,,313
305,274,,313
305,274,,313
305,274,,313
305,274,,313
305,274,,313
305,274,,313
305,274,,313
305,274,,313
305,274,,313
305,274,,313
305,274,,313
305,274,,313
305,274,,313
305,274,,313
